id,nl,ground_truth,llm_answer,sql_used,sql_valid,correct,latency_s
1,How many claims are recorded in the dataset?,12684,12684,SELECT COUNT(*) FROM claims_tbl,True,True,3.183572292327881
2,How many distinct patients are represented in the dataset?,12599,12599,"SELECT COUNT(DISTINCT patient_id) AS total_unique_patients
FROM claims_tbl",True,True,3.2235753536224365
3,How many distinct doctors are in the dataset?,32,32,"SELECT COUNT(DISTINCT doctor_id) AS number_of_doctors
FROM claims_tbl",True,True,2.825298309326172
4,How many distinct hospitals are present?,7,7,"SELECT COUNT(DISTINCT ""hospital_name"") 
FROM claims_tbl",True,True,2.3534300327301025
5,How many different insurance providers appear in the claims?,7,7,"SELECT COUNT(DISTINCT ""insurance_provider_name"") 
FROM claims_tbl",True,True,2.1155078411102295
6,How many unique medical conditions are recorded?,6,6,"SELECT COUNT(DISTINCT ""MedicalCondition"") 
FROM claims_tbl",True,True,2.1112887859344482
7,How many distinct admission types are there?,3,3,"SELECT COUNT(DISTINCT ""admission_type"") AS distinct_admission_types
FROM claims_tbl",True,True,2.7958126068115234
8,How many different medications are listed in the claims?,7,7,"SELECT COUNT(DISTINCT medication) AS number_of_medications
FROM claims_tbl",True,True,2.6925415992736816
9,How many distinct test result categories exist?,3,3,"SELECT COUNT(DISTINCT ""test_resultS"") 
FROM claims_tbl",True,True,1.9185681343078613
10,How many claims were recorded in 2018?,1,1,"SELECT COUNT(*) 
FROM claims_tbl 
WHERE strftime('%Y', admission_date) = '2018'",True,True,3.381787061691284
11,What is the total billing amount for the year 2018?,14935.47,14935.47,"SELECT SUM(billing_amount) AS total_billing_amount
FROM claims_tbl
WHERE strftime('%Y', admission_date) = '2018'",True,True,3.8937060832977295
12,How many distinct patients had admissions in 2018?,1,1,"SELECT COUNT(DISTINCT patient_id) AS total_patients
FROM claims_tbl
WHERE strftime('%Y', admission_date) = '2018'",True,True,3.4867093563079834
13,What was the average length of stay for admissions in 2018?,1839.0,1839.0,"SELECT AVG(""Length_of_Stay"") AS average_length_of_stay
FROM claims_tbl
WHERE strftime('%Y', ""admission_date"") = '2018'",True,True,5.702111005783081
14,How many claims were recorded in 2020?,2,2,"SELECT COUNT(*) 
FROM claims_tbl 
WHERE strftime('%Y', admission_date) = '2020'",True,True,3.392686128616333
15,What is the total billing amount for the year 2020?,678231.75,678231.75,"SELECT SUM(billing_amount) AS total_billing_amount
FROM claims_tbl
WHERE strftime('%Y', admission_date) = '2020'",True,True,3.658074140548706
16,How many distinct patients had admissions in 2020?,2,2,"SELECT COUNT(DISTINCT patient_id) 
FROM claims_tbl 
WHERE strftime('%Y', admission_date) = '2020'",True,True,5.342787981033325
17,What was the average length of stay for admissions in 2020?,1233.0,1233.0,"SELECT AVG(""Length_of_Stay"") 
FROM claims_tbl 
WHERE strftime('%Y', ""admission_date"") = '2020'",True,True,5.043596982955933
18,How many claims were recorded in 2021?,7,7,"SELECT COUNT(*) 
FROM claims_tbl 
WHERE strftime('%Y', ""admission_date"") = '2021'",True,True,3.6880815029144287
19,What is the total billing amount for the year 2021?,476529.38,476529.37999999995,"SELECT SUM(billing_amount) AS total_billing_amount
FROM claims_tbl
WHERE strftime('%Y', admission_date) = '2021'",True,True,3.009392499923706
20,How many distinct patients had admissions in 2021?,7,7,"SELECT COUNT(DISTINCT patient_id) AS total_unique_patients
FROM claims_tbl
WHERE strftime('%Y', admission_date) = '2021'",True,True,4.371454477310181
21,What was the average length of stay for admissions in 2021?,685.29,685.2857142857143,"SELECT AVG(""Length_of_Stay"") 
FROM claims_tbl 
WHERE strftime('%Y', ""admission_date"") = '2021'",True,True,4.684001207351685
22,How many claims were recorded in 2022?,2,2,"SELECT COUNT(*) 
FROM claims_tbl 
WHERE strftime('%Y', admission_date) = '2022'",True,True,2.8730483055114746
23,What is the total billing amount for the year 2022?,111976.79,111976.79,"SELECT SUM(billing_amount) AS total_billing_amount
FROM claims_tbl
WHERE strftime('%Y', admission_date) = '2022'",True,True,4.713695764541626
24,How many distinct patients had admissions in 2022?,2,2,"SELECT COUNT(DISTINCT ""patient_id"") 
FROM claims_tbl 
WHERE strftime('%Y', ""admission_date"") = '2022'",True,True,2.839362621307373
25,What was the average length of stay for admissions in 2022?,379.0,379.0,"SELECT AVG(""Length_of_Stay"") 
FROM claims_tbl 
WHERE strftime('%Y', ""admission_date"") = '2022'",True,True,4.292848348617554
26,How many claims were recorded in 2023?,12672,12672,"SELECT COUNT(*) 
FROM claims_tbl 
WHERE strftime('%Y', admission_date) = '2023'",True,True,3.5251166820526123
